City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,venadillo,4.7193,-74.9292,26.55,52,71,1.93,CO,1728961683
1,hamilton,39.1834,-84.5333,10.99,73,0,1.54,US,1728961341
2,kalemie,-5.9475,29.1947,21.5,83,100,4.08,CD,1728961685
3,iqaluit,63.7506,-68.5145,-1.28,80,100,5.81,CA,1728961686
4,hermanus,-34.4187,19.2345,12.67,59,1,10.88,ZA,1728961688
5,tsiombe,-25.3,45.4833,21.06,76,33,4.67,MG,1728961634
6,djambala,-2.5447,14.7533,19.42,97,100,1.86,CG,1728961690
7,grytviken,-54.2811,-36.5092,-0.3,83,29,6.74,GS,1728961691
8,port-aux-francais,-49.35,70.2167,2.62,74,99,15.13,TF,1728961417
9,ushuaia,-54.8,-68.3,10.81,54,20,3.6,AR,1728961452
10,mili,6.0815,171.735,28.99,76,50,6.45,MH,1728961694
11,antalaha,-14.9003,50.2788,20.87,82,74,1.8,MG,1728961696
12,vilyuchinsk,52.9306,158.4028,13.15,62,2,2.56,RU,1728961697
13,bethel,41.3712,-73.414,8.05,69,75,2.06,US,1728961493
14,port mathurin,-19.6833,63.4167,22.06,69,100,8.25,MU,1728961699
15,severnoye,56.3491,78.3619,-0.2,78,82,0.51,RU,1728961701
16,adamstown,-25.066,-130.1015,20.97,85,69,9.04,PN,1728961703
17,nova sintra,14.8667,-24.7167,27.12,76,79,4.64,CV,1728961704
18,rongelap,11.1635,166.8941,28.57,80,51,8.04,MH,1728961705
19,guerrero negro,27.9769,-114.0611,18.79,85,0,6.63,MX,1728961706
20,lazaro cardenas,17.9583,-102.2,26.64,84,13,1.59,MX,1728961707
21,mumbwa,-14.9783,27.0619,18.29,87,100,0.73,ZM,1728961708
22,north bondi,-33.8824,151.2769,18.83,70,75,8.23,AU,1728961710
23,touros,-5.1989,-35.4608,25.37,72,11,6.62,BR,1728961711
24,zeya,53.75,127.2667,-3.01,63,8,4.18,RU,1728961712
25,st. john's,47.5649,-52.7093,9.98,90,75,4.12,CA,1728961317
26,albany,42.6001,-73.9662,5.78,72,62,3.58,US,1728961538
27,kimbe,-5.5502,150.1429,29.79,76,69,1.3,PG,1728961715
28,ta`u,-14.2336,-169.5144,26.78,73,91,8.0,AS,1728961716
29,isafjordur,66.0755,-23.124,-1.13,80,51,2.65,IS,1728961718
30,walvis bay,-22.9575,14.5053,13.63,87,75,2.13,NA,1728961719
31,chibougamau,49.9168,-74.3659,3.79,87,100,4.12,CA,1728961340
32,tazovsky,67.4667,78.7,0.93,98,100,6.13,RU,1728961721
33,blackmans bay,-43.0167,147.3167,18.07,52,6,0.89,AU,1728961722
34,plettenberg bay,-34.0527,23.3716,11.37,64,7,4.01,ZA,1728961723
